35.6839 N, 139.7744 E
6.2146 S, 106.8451 E
28.6667 N, 77.2167 E
14.6 N, 120.9833 E
23.5504 S, 46.6339 W
37.56 N, 126.99 E
19.0758 N, 72.8775 E
31.1667 N, 121.4667 E
19.4333 N, 99.1333 W
23.1288 N, 113.259 E
30.0444 N, 31.2358 E
39.904 N, 116.4075 E
40.6943 N, 73.9249 W
22.5727 N, 88.3639 E
55.7558 N, 37.6178 E
13.75 N, 100.5167 E
23.7289 N, 90.3944 E
34.5997 S, 58.3819 W
34.752 N, 135.4582 E
6.45 N, 3.4 E
41.01 N, 28.9603 E
24.86 N, 67.01 E
4.3317 S, 15.3139 E
22.535 N, 114.054 E
12.9791 N, 77.5913 E
10.8167 N, 106.6333 E
35.7 N, 51.4167 E
34.1139 N, 118.4068 W
22.9083 S, 43.1964 W
30.66 N, 104.0633 E
38.8671 N, 115.4845 E
13.0825 N, 80.275 E
31.5497 N, 74.3436 E
51.5072 N, 0.1275 W
48.8566 N, 2.3522 E
39.1467 N, 117.2056 E
35.0606 N, 118.3425 E
38.0422 N, 114.5086 E
34.7492 N, 113.6605 E
32.9987 N, 112.5292 E
17.3617 N, 78.4747 E
30.5872 N, 114.2881 E
36.6116 N, 114.4894 E
35.1167 N, 136.9333 E
36.7167 N, 119.1 E
12.06 S, 77.0375 W
33.625 N, 114.6418 E
8.8383 S, 13.2344 E
25.8292 N, 114.9336 E
34.261 N, 117.1859 E
3.1478 N, 101.6953 E
41.8373 N, 87.6862 W
35.2333 N, 115.4333 E
29.55 N, 106.5069 E
21.0245 N, 105.8412 E
32.8986 N, 115.8045 E
28.1987 N, 112.9709 E
23.0475 N, 113.7493 E
35.4 N, 116.5667 E
36.6667 N, 116.9833 E
18.5196 N, 73.8553 E
23.0292 N, 113.1056 E
4.6126 N, 74.0705 W
32.05 N, 118.7667 E
23.03 N, 72.58 E
43.9 N, 125.2 E
39.6292 N, 118.1742 E
38.3037 N, 116.8452 E
6.8 S, 39.2833 E
31.8639 N, 117.2808 E
22.3069 N, 114.1831 E
27.2418 N, 111.4725 E
21.1967 N, 110.4031 E
34.4259 N, 115.6467 E
31.9829 N, 120.8873 E
33.3936 N, 120.1339 E
22.8192 N, 108.315 E
26.8968 N, 112.5857 E
32.9773 N, 114.0253 E
41.8039 N, 123.4258 E
37.0659 N, 114.4753 E
34.2667 N, 108.9 E
33.45 S, 70.6667 W
37.3997 N, 121.2664 E
24.65 N, 46.71 E
34.6587 N, 112.4245 E
25.0433 N, 102.7061 E
28.4419 N, 117.9633 E
30.25 N, 120.1675 E
27.3019 N, 105.2863 E
24.9139 N, 118.5858 E
25.7839 N, 80.2102 W
31.5667 N, 120.2833 E
30.45 N, 114.875 E
21.6618 N, 110.9178 E
30.7991 N, 106.0784 E
27.705 N, 106.9336 E
25.5102 N, 103.8029 E
32.1264 N, 114.0672 E
33.35 N, 44.4167 E
23.5533 N, 116.3649 E
31.5069 N, 34.456 E
31.7764 N, 35.2269 E
18.0706 N, 63.0847 W
18.0256 N, 63.0492 W
0.5477 S, 166.9209 E
42.6633 N, 21.1622 E
17.8958 N, 62.8508 W
